LicenseId,LicenseName,LicenseScore,PackageName,PackageVersion,LicenseReferenceType,LicenseReference,LicenseState,LicenseStateLastUpdateDate,LicenseStateLastUpdateUser,LicenseStateLastUpdateComment
1,"Apache 2.0",3,"io.netty:netty-transport-native-unix-common","4.2.10.Final","LicenseFileInJar","https://mvnrepository.com/artifact/io.netty/netty-transport-native-unix-common/4.2.10.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.perfmark:perfmark-api","0.27.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.perfmark/perfmark-api/0.27.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.smallrye:jandex","3.1.2","PomFile","https://mvnrepository.com/artifact/io.smallrye/jandex/3.1.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"jakarta.inject:jakarta.inject-api","2.0.1","LicenseFileInJar","https://mvnrepository.com/artifact/jakarta.inject/jakarta.inject-api/2.0.1","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"jakarta.validation:jakarta.validation-api","3.0.2","LicenseFileInJar","https://mvnrepository.com/artifact/jakarta.validation/jakarta.validation-api/3.0.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"net.bytebuddy:byte-buddy","1.15.11","LicenseFileInJar","https://mvnrepository.com/artifact/net.bytebuddy/byte-buddy/1.15.11","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"net.bytebuddy:byte-buddy-agent","1.15.11","LicenseFileInJar","https://mvnrepository.com/artifact/net.bytebuddy/byte-buddy-agent/1.15.11","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"net.devh:grpc-client-spring-boot-starter","3.1.0.RELEASE","LicenseFileInJar","https://mvnrepository.com/artifact/net.devh/grpc-client-spring-boot-starter/3.1.0.RELEASE","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"net.devh:grpc-common-spring-boot","3.1.0.RELEASE","LicenseFileInJar","https://mvnrepository.com/artifact/net.devh/grpc-common-spring-boot/3.1.0.RELEASE","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"net.devh:grpc-server-spring-boot-starter","3.1.0.RELEASE","LicenseFileInJar","https://mvnrepository.com/artifact/net.devh/grpc-server-spring-boot-starter/3.1.0.RELEASE","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"net.minidev:accessors-smart","2.5.2","PomFile","https://mvnrepository.com/artifact/net.minidev/accessors-smart/2.5.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
